255,51,0
255,69,0
255,82,0
255,93,0
255,102,0
255,111,0
255,118,0
255,124,0
255,130,0
255,135,0
255,141,11
255,146,29
255,152,41
255,157,51
255,162,60
255,166,69
255,170,77
255,174,84
255,178,91
255,182,98
255,185,105
255,189,111
255,192,118
255,195,124
255,198,130
255,201,135
255,203,141
255,206,146
255,208,151
255,211,156
255,213,161
255,215,166
255,217,171
255,219,175
255,221,180
255,223,184
255,225,188
255,226,192
255,228,196
255,229,200
255,231,204
255,232,208
255,234,211
255,235,215
255,237,218
255,238,222
255,239,225
255,240,228
255,241,231
255,243,234
255,244,237
255,245,240
255,246,243
255,247,245
255,248,248
255,249,251
255,249,253
254,250,255
252,248,255
250,247,255
247,245,255
245,244,255
243,243,255
241,241,255
239,240,255
238,239,255
236,238,255
234,237,255
233,236,255
231,234,255
229,233,255
228,233,255
227,232,255
225,231,255
224,230,255
223,229,255
221,228,255
220,227,255
219,226,255
218,226,255
217,225,255
216,224,255
215,223,255
214,223,255
213,222,255
212,221,255
211,221,255
210,220,255
209,220,255
208,219,255
207,218,255
